product_url,item_type,image_link,auction_date,location,product_name,lot_id,auctioner,website
https://www.biddergy.com/Listing/Details/242849211/2-Qty-Vintage-Pipe-Wrenches,pipe,https://www.biddergy.com/Content/listingImages/20220913/8f080cdb-6477-44f5-9600-1fef17d41108_fullsize.jpg,"Item ends Wednesday, September 21, 2022 - 8:18PM (EDT)","1919 E. Kilgore Service Road, Kalamazoo, MI, 49001",(2 Qty) Vintage Pipe Wrenches,Lot # 825054,,bidspotter
https://www.biddergy.com/Listing/Details/242816712/NEW-2-NDS-PopUp-Drainage-Emitter,pipe,https://www.biddergy.com/Content/listingImages/20220913/1c34fc42-3435-4b25-82f7-1561332414d1_fullsize.jpg,"Item ends Tuesday, September 20, 2022 - 8:00PM (EDT)","17000 Northville Road, Northville, MI, 48168",NEW - (2) NDS Pop-Up Drainage Emitter,Lot # NV003941,,bidspotter
https://www.biddergy.com/Listing/Details/242823976/2-Qty-PSP-15-Ton-Vehicle-Jack-Stands,steel,https://www.biddergy.com/Content/listingImages/20220913/4f3e256a-71a5-42de-91df-aaafdf13430f_fullsize.jpg,"Item ends Wednesday, September 21, 2022 - 8:15PM (EDT)","1919 E. Kilgore Service Road, Kalamazoo, MI, 49001",(2 Qty) PSP 1.5 Ton Vehicle Jack Stands,Lot # 825031,,bidspotter
https://www.biddergy.com/Listing/Details/242793373/New-30-Bar-Round-Table,steel,https://www.biddergy.com/Content/listingImages/20220913/3c601922-9811-43f8-b54f-72a345d40c6e_fullsize.jpg,"Item ends Wednesday, September 21, 2022 - 8:12PM (EDT)","1919 E. Kilgore Service Road, Kalamazoo, MI, 49001","New 30"" Bar Round Table",Lot # 825432,,bidspotter
https://www.biddergy.com/Listing/Details/242812543/Steelcase-Desk,steel,https://www.biddergy.com/Content/listingImages/20220913/91d7011b-5b6c-4178-868f-0dc2d6ef3298_fullsize.jpg,"Item ends Thursday, September 22, 2022 - 8:00PM (EDT)","1919 E. Kilgore Service Rd., Kalamazoo, MI, 49001",Steelcase Desk,Lot # 611519,,bidspotter
https://www.biddergy.com/Listing/Details/241621594/Case-Of-24-Qty-Delta-44080SS-Stainless-Steel-Vertical-Liquid-Soap-Dispensers,steel,https://www.biddergy.com/Content/listingImages/20220902/e08b5959-b3b4-4f5f-bd69-f9e0c918a63d_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:00PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",Case Of (24 Qty) Delta 44080-SS Stainless Steel Vertical Liquid Soap Dispensers,Lot # 656377,,bidspotter
https://www.biddergy.com/Listing/Details/242810645/NEW-3-Qty-Cases-Project-62-Korsmo-Flatware-Set-Stainless-Steel,steel,https://www.biddergy.com/Content/listingImages/20220913/b4f69e7f-4550-4204-87e1-3b569699c03d_fullsize.jpg,"Item ends Wednesday, September 21, 2022 - 8:15PM (EDT)","1919 E. Kilgore Service Road, Kalamazoo, MI, 49001","NEW, (3 Qty) Cases Project 62 Korsmo Flatware Set Stainless Steel",Lot # 825452,,bidspotter
https://www.biddergy.com/Listing/Details/241606932/Case-Of-24-Qty-Delta-44080SS-Stainless-Steel-Vertical-Liquid-Soap-Dispensers,steel,https://www.biddergy.com/Content/listingImages/20220902/294e1e64-3f99-4f9b-bf25-b239c9e3953c_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:00PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",Case Of (24 Qty) Delta 44080-SS Stainless Steel Vertical Liquid Soap Dispensers,Lot # 656376,,bidspotter
https://www.biddergy.com/Listing/Details/241606698/Case-Of-24-Qty-Delta-44080SS-Stainless-Steel-Vertical-Liquid-Soap-Dispensers,steel,https://www.biddergy.com/Content/listingImages/20220902/b236b013-eeb6-42a1-b031-f10da78e177d_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:00PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",Case Of (24 Qty) Delta 44080-SS Stainless Steel Vertical Liquid Soap Dispensers,Lot # 656375,,bidspotter
https://www.biddergy.com/Listing/Details/241605970/Case-Of-24-Qty-Delta-44080SS-Stainless-Steel-Vertical-Liquid-Soap-Dispensers,steel,https://www.biddergy.com/Content/listingImages/20220902/cc3e3eb1-ba1f-4fe4-8cf5-35f2b74d6a16_fullsize.jpg,"Item ends Thursday, September 15, 2022 - 8:00PM (EDT)","1919 E Kilgore Service Road, Kalamazoo, MI, 49001",Case Of (24 Qty) Delta 44080-SS Stainless Steel Vertical Liquid Soap Dispensers,Lot # 656374,,bidspotter
